Price,Close,High,Low,Open,Volume,Intraday_Range
Date,,,,,,
2023-02-10,148.9927978515625,149.3183915069066,147.22671535677526,147.4635148483787,57450700.0,2.0916761501313488
2023-02-13,151.79490661621094,152.1994184714387,148.90403717735236,148.9336352385894,62199000.0,3.295381294086326
2023-02-14,151.153564453125,151.71595766811416,148.8448255867729,150.08798919443248,61707600.0,2.871132081341244
2023-02-15,153.255126953125,153.4228543120151,150.83785669682248,151.06478017591323,65573800.0,2.5849976151926057
2023-02-16,151.65676879882812,154.24176636818623,151.3015770289575,151.4594283283723,68167900.0,2.9401893392287377
2023-02-17,150.5122528076172,150.95623873407766,148.83496427712012,150.314927401964,59144100.0,2.1212744569575364
2023-02-21,146.49661254882812,149.27895045459564,146.42755543146694,148.19363813923312,58867200.0,2.8513950231287026
2023-02-22,146.92088317871094,147.94698436963745,145.19425945136115,146.88140906273446,51011300.0,2.7527249182763
2023-02-23,147.40431213378906,148.33175804369702,145.27317680704334,148.0850975380816,48394200.0,3.05858123665368
2023-02-24,144.75027465820312,145.22385866894857,143.77349352201168,145.1449254913303,55469600.0,1.450365146936889
2023-02-27,145.94410705566406,147.1774097603546,145.48038403430326,145.73692063205627,44998500.0,1.6970257260513506
2023-02-28,145.44090270996094,147.08859306462728,144.8686485359811,145.08571098317904,50547000.0,2.219944528646181
2023-03-01,143.36895751953125,145.26330849706878,143.0729618860178,144.86865768902635,55479000.0,2.190346611050984
2023-03-02,143.96096801757812,144.7502847940671,141.97780754659183,142.4514066454644,52238100.0,2.7724772474752797
2023-03-03,149.01255798339844,149.0914911594904,145.36198515518814,146.0624926286878,70732300.0,3.729506004302266
2023-03-06,151.77516174316406,154.21216902598104,151.41010897005816,151.7356876269036,87558000.0,2.8020600559228797
2023-03-07,149.574951171875,151.9724842932115,149.1112281718285,151.64689058754286,56182000.0,2.8612561213830077
2023-03-08,150.82797241210938,151.41996369175047,149.80187125635692,150.768776295138,47204800.0,1.6180924353935495
2023-03-09,148.57843017578125,152.47566345847628,148.2232384177023,151.50875841619168,53833600.0,4.252425040773971
2023-03-10,146.516357421875,148.92376664622063,145.63824652167983,148.20352210122027,68572400.0,3.2855201245407955
2023-03-13,148.46002197265625,151.09435428881787,145.72701943515565,145.83555065664373,84457100.0,5.367334853662214
2023-03-14,150.5517120361328,151.35088971565344,148.09498288130473,149.25921331444258,73695900.0,3.255906834348707
2023-03-15,150.94638061523438,151.20290214198522,147.91738213550175,149.17042182051847,77167900.0,3.285520006483466
2023-03-16,153.7681427001953,154.36999484794205,149.61437376985128,150.12743176177318,76161100.0,4.755621078090769
2023-03-17,152.92953491210938,154.64629769155513,152.21915135199143,153.99511025228628,98944600.0,2.4271463395637056
2023-03-20,155.29747009277344,155.7118730486912,152.09088307007352,152.99860710640667,73641400.0,3.620989978617672
2023-03-21,157.15232849121094,157.27072070754767,154.44892413015182,155.21851870122467,73938300.0,2.821796577395844
2023-03-22,155.7217254638672,159.97415053377057,155.7019884063488,157.17209056471103,75701800.0,4.27216212742178
2023-03-23,156.80702209472656,159.39203464017027,155.57371946683134,156.70836691747317,67622100.0,3.818315173338931
2023-03-24,158.10939025878906,158.1981844310787,155.74145533462084,156.73795839634036,59196500.0,2.456729096457849
2023-03-27,156.16574096679688,158.6224856967079,155.76121401338384,157.80357078673757,52390300.0,2.8612716833240768
2023-03-28,155.54409790039062,156.37288858285143,153.8964076451378,155.8598305517969,45992200.0,2.4764809377136316
2023-03-29,158.62246704101562,158.89872564622954,157.2214369560123,157.24115895998125,51305700.0,1.6772886902172388
2023-03-30,160.19119262695312,160.29972384705454,159.11575648092384,159.3722779761809,49501700.0,1.1839673661307017
2023-03-31,162.69728088378906,162.79595111857384,159.74723055627194,160.27014967971024,68749800.0,3.048720562301895
