,Close,High,Low,Open,Volume
count,751.0,751.0,751.0,751.0,751.0
mean,207.08697824694028,208.95530279305797,205.02153983455696,206.8715922057277,56045339.59121172
std,33.66795787782561,34.00368601874591,33.294504315028156,33.6840115007677,24170043.37576607
min,143.36895751953125,144.7502847940671,141.97780754659183,142.4514066454644,17910600.0
25%,179.38621520996094,181.07146567423166,177.12084888406247,179.20961195197526,43514750.0
50%,202.39389038085935,205.7624599378956,200.19850807531137,203.0724503091444,50419300.0
75%,230.06024932861328,231.99759510152757,227.401927119307,229.78394680046472,61537950.0
max,286.19000244140625,288.6199951171875,283.29998779296875,286.20001220703125,318679900.0
